,smiles,ChEMBL_ID,activity_IC50,binding_score
173,C[C@H]1Cc2c(CN1C(=O)c1cccc(c1Cl)C(F)(F)F)nnn2-c1ccsc1,CHEMBL4072525,3.568201724066995,-9.66197
174,CN1CCC(CC1)S(=O)(=O)c1c(Cl)ccc(NC(=O)Nc2cccc(Cl)c2Cl)c1O,CHEMBL3819521,4.0,-9.77612
175,CNC(=O)c1c(oc2cc(N(Cc3ccc(B(O)O)c(F)c3)S(C)(=O)=O)c(cc12)C1CC1)-c1ccc(F)cc1,CHEMBL3121193,3.690196080028514,-11.31858
176,C[C@@H]1COCCN1c1cc(nc(n1)-c1cc[nH]c-2nccc1-2)C1(CC1)[S@](C)(=N)=O,CHEMBL4285417,4.0,-9.02461
178,CCn1ncc2C[C@@H](CCc12)Nc1nc2c(cccn2n1)-c1ccc(F)cc1C,CHEMBL4127978,4.3979400086720375,-10.12749
179,Nc1noc2ccc(cc12)-c1cc(Cl)ccc1Oc1cc(F)c(cc1F)S(=O)(=O)Nc1ncccn1,CHEMBL3804898,2.7558748556724915,-11.51394
180,Fc1cc(NCCCC2CCOC2)c(Cl)cc1S(=O)(=O)Nc1nccs1,CHEMBL4073353,4.301029995663981,-7.80604
183,Cc1nc(no1)-c1ccc(OCC2CN(C2)c2ccc(C)nn2)cc1,CHEMBL1835918,4.699999970860912,-8.97561
187,CN([C@@H]1CCc2c(CC(O)=O)c3ccccc3n2C1)C(=O)Cc1ccc(F)cc1,CHEMBL1778506,4.698970004336019,-10.03327
188,CN([C@@H]1CCc2c(CC(O)=O)c3ccccc3n2C1)C(=O)C1(CCC1)c1ccc(F)cc1,CHEMBL1778524,4.698970004336019,-11.08491
189,Fc1cc2nc(-c3ccc(Cl)cc3)n([C@@H](C3CCCCC3)C(=O)NC3CCCCC3)c2cc1Cl,CHEMBL1642362,4.698970004336019,-10.19139
191,Cc1cc(\\C=C\\C#N)cc(C)c1Oc1nc(NC2CCN(Cc3ccc(cc3)S(N)(=O)=O)CC2)nc2sccc12,CHEMBL4526732,3.92272545799326,-10.79495
198,CN[C@@H]1C[C@@H](c2ccc(Cl)c(Cl)c2)c2ccccc2C1,CHEMBL1642894,4.3979400086720375,-8.5867
199,COc1cnc2[nH]cc(Cc3cnc(NCc4ccc(nc4)C(F)(F)F)c(F)c3)c2c1,CHEMBL3673974,4.0,-9.2384
200,C[C@@H](c1ncncc1F)[C@](O)(Cn1cncn1)c1ccc(F)cc1F,CHEMBL638,4.146128035678238,-8.26088
201,COc1c2ccoc2c(OCC=C(C)C)c2oc(=O)ccc12,CHEMBL452751,4.0,-7.78734
202,NNCCc1ccccc1,CHEMBL1089,3.6020599913279625,-6.1531
205,CC(C)NCC(O)COc1cccc2ccccc12,CHEMBL27,4.0,-7.38276
206,C[C@H](N1CC[C@@](CCO)(OC1=O)c1ccc(F)cc1)c1ccc(cc1)-c1ccc(F)cc1F,CHEMBL1829763,3.690196080028514,-10.98737
207,OCCc1c(-c2cc(Cl)ccc2O)c2cc(ccc2n(CC#N)c1=O)C(F)(F)F,CHEMBL195561,3.591064607026499,-8.25941
208,Cn1c(SCCCN2CC3CCN(C3C2)c2ccc(cc2)C(F)(F)F)nnc1-c1ccc(=O)n(C)c1,CHEMBL3774769,4.3979400086720375,-9.81844
210,Cc1cc(ccc1F)-c1cnc2ccn(CC(=O)N3CCC3)c2c1,CHEMBL4443868,4.0,-8.83494
211,CN(C)C(=O)Cn1ccc2ncc(cc12)-c1ccc(F)c(C)c1,CHEMBL4302264,4.0,-8.35013
212,Cl.Fc1ccccc1NS(=O)(=O)c1cc(C(=O)N2CCN3CCC[C@@H]3C2)c(Cl)cc1F,CHEMBL3589557,4.0,-10.34871
213,CCOC(=O)N1[C@H]2CC[C@@H]1C[C@@H](CN1CC[C@H](C1)N1Cc3ccccc3NC1=O)C2,CHEMBL3633184,3.3010299956639813,-10.00245
214,CC(C)(N1CCN(C[C@@H](O)C[C@@H](Cc2ccccc2)C(=O)N[C@@H]2[C@H](O)COc3ccccc23)[C@@H](C1)C(=O)NCC(F)(F)F)c1ncc(o1)-c1cccnc1,CHEMBL3706613,4.518513939877887,-11.53572
217,FC(F)(F)c1cccc(c1)-c1cnc2ccn(CC(=O)N3CCC3)c2c1,CHEMBL4515350,3.7708520116421442,-9.14876
218,CN(C)C(=O)Cn1ccc2ncc(cc12)-c1cc(C)cs1,CHEMBL4529810,4.0,-7.23021
219,CN(C)C(=O)Cn1ccc2ncc(cc12)-c1ccc(Cl)c(C)c1,CHEMBL4451514,3.9684829485539352,-8.33404
220,Cc1ncoc1-c1nnc(SCCCN2CC3CCN(C3C2)c2ccccc2)n1C,CHEMBL3775589,3.0,-9.64524
